number,value,datetime_start,datetime_complete,duration,params_hidden,params_lambda_bc,params_lambda_ic,params_lambda_phys,params_lr,params_n_layers,params_scheduler_gamma,params_scheduler_step,state
96,0.04595855623483658,2026-05-21 12:05:55.345565,2026-05-21 12:05:55.919656,0 days 00:00:00.574091,112,195.2123490753495,17.159660108047774,8.098294818903238,0.005890623724385287,6,0.5837800467889339,1000,PRUNED
97,0.04000401496887207,2026-05-21 12:05:55.926112,2026-05-21 12:05:56.591970,0 days 00:00:00.665858,128,20.690361417700835,25.353823942172195,59.37125204948722,0.0036085178125796072,7,0.6105780668160244,2000,PRUNED
98,0.04731571301817894,2026-05-21 12:05:56.598565,2026-05-21 12:05:57.413533,0 days 00:00:00.814968,112,12.811534716291813,11.192881734291921,4.435990584258848,0.0026264241241274397,10,0.34993752249920496,3000,PRUNED
99,0.043908338993787766,2026-05-21 12:05:57.421509,2026-05-21 12:05:58.153658,0 days 00:00:00.732149,128,25.32122407754495,71.76006450748795,45.22410386415182,0.0015926295043868553,8,0.7792970902272705,3000,PRUNED
100,0.04198509827256203,2026-05-21 12:05:58.160791,2026-05-21 12:05:58.871925,0 days 00:00:00.711134,96,18.28236926301667,21.38572746680448,25.297440779601917,0.003022371007741439,9,0.6728655500672585,3000,PRUNED
101,0.03898477554321289,2026-05-21 12:05:58.879672,2026-05-21 12:05:59.210596,0 days 00:00:00.330924,128,11.043817083279192,14.284849791067268,15.549607919580941,0.004138359044794405,2,0.7552979588537561,3000,PRUNED
102,0.03823515772819519,2026-05-21 12:05:59.217478,2026-05-21 12:05:59.685045,0 days 00:00:00.467567,128,13.762893421054104,13.205832318079795,35.481717588977425,0.0035198696737702225,4,0.6256651280017602,3000,PRUNED
103,0.03564953804016113,2026-05-21 12:05:59.692551,2026-05-21 12:06:00.475967,0 days 00:00:00.783416,128,16.19178166494653,10.044251220790883,13.486441540260943,0.002188121207899643,9,0.704894882792545,5000,PRUNED
104,0.042461100965738297,2026-05-21 12:06:00.484867,2026-05-21 12:06:01.185871,0 days 00:00:00.701004,112,10.840353315576197,12.802783012194602,10.083767209272015,0.0026693114826553117,8,0.729816729513755,4000,PRUNED
105,0.04420022666454315,2026-05-21 12:06:01.195390,2026-05-21 12:06:01.825821,0 days 00:00:00.630431,128,12.114349366765113,16.355299271962107,19.277998531005778,0.002418898028587265,7,0.6595121472195988,1000,PRUNED
106,0.04531893879175186,2026-05-21 12:06:01.835957,2026-05-21 12:06:02.401866,0 days 00:00:00.565909,112,14.605899741941034,11.464094460573943,30.046670399875598,0.004771417830021608,6,0.8070987505091308,3000,PRUNED
107,0.03901896998286247,2026-05-21 12:06:02.411256,2026-05-21 12:06:02.945918,0 days 00:00:00.534662,128,19.316169077448226,15.225458961592993,0.21131166975379467,0.00371757205341824,5,0.7204091646869217,4000,PRUNED
108,0.03895611688494682,2026-05-21 12:06:02.955320,2026-05-21 12:06:03.652342,0 days 00:00:00.697022,112,15.447482139268013,40.594828063068555,11.69225815903827,0.0032041636370827675,8,0.8650715548394999,2000,PRUNED
109,0.04841373860836029,2026-05-21 12:06:03.661176,2026-05-21 12:06:04.325783,0 days 00:00:00.664607,80,68.631065753939,163.71397438561547,3.8424429023364373,0.001918183190072076,9,0.8876657230129807,3000,PRUNED
110,0.041745465248823166,2026-05-21 12:06:04.335162,2026-05-21 12:06:05.129651,0 days 00:00:00.794489,128,13.593036011114375,51.235959704051254,74.3371131821932,0.0017550124203738653,9,0.683330960689339,3000,PRUNED
111,0.040950942784547806,2026-05-21 12:06:05.138533,2026-05-21 12:06:05.899649,0 days 00:00:00.761116,112,22.86714582530435,31.86829356552465,6.526066455551757,0.002721975695969717,9,0.7116808743102612,3000,PRUNED
112,0.038868699222803116,2026-05-21 12:06:05.907613,2026-05-21 12:06:06.622820,0 days 00:00:00.715207,112,18.03256959893674,35.31529010262307,5.419855391168108,0.0024887897628042177,9,0.6333897585501781,3000,PRUNED
113,7.462773737643147e-06,2026-05-21 12:06:06.630007,2026-05-21 12:06:49.763040,0 days 00:00:43.133033,112,12.418190870864379,28.4834710045335,7.616564629582752,0.0029688823507398473,9,0.7450271349401153,1000,COMPLETE
114,0.03766084462404251,2026-05-21 12:06:49.783178,2026-05-21 12:06:50.570593,0 days 00:00:00.787415,96,12.315685409395181,27.974108159981434,9.63706307756704,0.0029144198100721124,10,0.7656824695698023,1000,PRUNED
115,0.04131195321679115,2026-05-21 12:06:50.577224,2026-05-21 12:06:51.256005,0 days 00:00:00.678781,112,10.566750833247646,18.137621753054677,16.82477284856649,0.002098293118884521,8,0.7458285160049151,1000,PRUNED
116,0.037377260625362396,2026-05-21 12:06:51.262898,2026-05-21 12:06:51.814642,0 days 00:00:00.551744,48,13.283032284398868,23.180456980277864,7.547856953363019,0.004563916284200276,9,0.5606099680830171,1000,PRUNED
117,0.04483974725008011,2026-05-21 12:06:51.821697,2026-05-21 12:06:52.521837,0 days 00:00:00.700140,112,16.059738624098866,477.9318824562086,1.4486954862395909,0.003238444742626622,8,0.7967126225250064,1000,PRUNED
118,0.03684055060148239,2026-05-21 12:06:52.528601,2026-05-21 12:06:53.210724,0 days 00:00:00.682123,128,12.101094878345137,65.61153307033993,96.18302101672741,0.0038524443683694677,7,0.7743423316464563,2000,PRUNED
119,0.03423537313938141,2026-05-21 12:06:53.218260,2026-05-21 12:06:53.981866,0 days 00:00:00.763606,112,10.172602166003019,56.598283747439496,23.15793808242502,0.0022239967024781436,9,0.8287989860643165,1000,PRUNED
120,0.04144461825489998,2026-05-21 12:06:53.988895,2026-05-21 12:06:54.865320,0 days 00:00:00.876425,128,14.948501330831558,10.665812050513452,14.75469345481304,0.0001909415671845903,10,0.6473761712553548,1000,PRUNED
121,0.048859260976314545,2026-05-21 12:06:54.872480,2026-05-21 12:06:55.602385,0 days 00:00:00.729905,112,19.516391017229562,46.92463015035652,6.0122893175294605,0.00259630771459458,9,0.73791226202749,3000,PRUNED
