number,value,datetime_start,datetime_complete,duration,params_hidden,params_lambda_ic,params_lambda_phys,params_lr,params_n_layers,params_scheduler_gamma,params_scheduler_step,state
44,0.00013893806317355484,2026-05-19 09:36:37.613214,2026-05-19 09:36:47.072838,0 days 00:00:09.459624,64,1.7432943138604147,0.18344948229722857,0.005840493171108409,4,0.609423354765859,3000,COMPLETE
45,0.16435247659683228,2026-05-19 09:36:47.084454,2026-05-19 09:36:47.377236,0 days 00:00:00.292782,16,3.2651793194362795,0.10535436712763925,0.0034645323012846797,6,0.6252863134760114,5000,PRUNED
46,0.2666780948638916,2026-05-19 09:36:47.385099,2026-05-19 09:36:47.568943,0 days 00:00:00.183844,64,25.136148701684327,0.05326563292353654,0.0027825647199784583,3,0.6650705232086034,4000,PRUNED
47,0.07324114441871643,2026-05-19 09:36:47.575900,2026-05-19 09:36:47.999899,0 days 00:00:00.423999,80,1.0562563551461936,0.27674144114143584,0.001491695394995115,4,0.41598120348710743,2000,PRUNED
48,0.22074352204799652,2026-05-19 09:36:48.007180,2026-05-19 09:36:48.168680,0 days 00:00:00.161500,32,4.370825232502912,0.5939353004002431,0.000553261703984557,2,0.740882375240011,5000,PRUNED
49,0.08211660385131836,2026-05-19 09:36:48.175015,2026-05-19 09:36:48.480626,0 days 00:00:00.305611,128,2.451713567280875,1.1182991275307783,0.005123191807895258,3,0.48199495254882185,4000,PRUNED
50,0.0985666811466217,2026-05-19 09:36:48.487270,2026-05-19 09:36:48.709560,0 days 00:00:00.222290,48,2.9370321889467386,4.396887109538275,0.00692717402678935,4,0.3633294170754566,1000,PRUNED
51,0.0001552767789689824,2026-05-19 09:36:48.716728,2026-05-19 09:37:03.359795,0 days 00:00:14.643067,64,2.2294159781886362,0.2995308582923625,0.004084814613690407,5,0.8192715085776944,2000,COMPLETE
52,0.00016406551003456116,2026-05-19 09:37:03.374737,2026-05-19 09:37:19.271913,0 days 00:00:15.897176,64,1.8938817640983774,0.43859462006247263,0.0035012994978910863,6,0.8288801930138745,2000,COMPLETE
53,0.08024458587169647,2026-05-19 09:37:19.281845,2026-05-19 09:37:19.759690,0 days 00:00:00.477845,48,1.3388500482764063,0.16553614878785133,0.0025119684166040905,5,0.8460240225544691,2000,PRUNED
54,0.00013139858492650092,2026-05-19 09:37:19.766562,2026-05-19 09:37:34.049029,0 days 00:00:14.282467,80,1.6911715267440435,0.2779297858746365,0.004762342498568603,5,0.7726626627878281,3000,COMPLETE
55,0.10979026556015015,2026-05-19 09:37:34.064569,2026-05-19 09:37:34.289008,0 days 00:00:00.224439,64,4.336973342765597,0.10018826588951596,0.008761562191597282,4,0.7163790400945176,1000,PRUNED
56,0.10460008680820465,2026-05-19 09:37:34.295598,2026-05-19 09:37:34.511491,0 days 00:00:00.215893,112,2.12672803687733,1.7847370980936839,0.0037334211377955356,4,0.5428842375346338,2000,PRUNED
57,0.09928834438323975,2026-05-19 09:37:34.518723,2026-05-19 09:37:34.781836,0 days 00:00:00.263113,48,1.0082266715657486,0.457376694401574,0.0018688844998229908,5,0.5156428556473345,3000,PRUNED
58,0.13711999356746674,2026-05-19 09:37:34.788444,2026-05-19 09:37:34.985065,0 days 00:00:00.196621,96,3.004898827214399,1.1102730604545183,0.0011066795625981599,3,0.5978317932752558,3000,PRUNED
59,0.09508944302797318,2026-05-19 09:37:34.991984,2026-05-19 09:37:35.217778,0 days 00:00:00.225794,64,1.5180132757051992,0.005655910657509179,0.0021609609708765666,4,0.649287818978939,4000,PRUNED
60,0.09960193186998367,2026-05-19 09:37:35.225605,2026-05-19 09:37:35.405764,0 days 00:00:00.180159,80,79.6930450353803,2.869707196168541,0.006333545207994019,3,0.8897687304120707,5000,PRUNED
61,0.09744355827569962,2026-05-19 09:37:35.414363,2026-05-19 09:37:35.615755,0 days 00:00:00.201392,48,1.5589846922488817,0.5849863053134599,0.005808452138448799,3,0.5885617489750562,4000,PRUNED
62,0.09402722120285034,2026-05-19 09:37:35.623646,2026-05-19 09:37:35.843972,0 days 00:00:00.220326,48,1.2358467755613447,0.23016169087070176,0.004368484631848566,3,0.5681158734152643,4000,PRUNED
63,0.21152417361736298,2026-05-19 09:37:35.851816,2026-05-19 09:37:36.064259,0 days 00:00:00.212443,64,2.4509340426990858,0.3610876895111602,0.00019569524800225723,3,0.6114971707468981,4000,PRUNED
64,0.06714287400245667,2026-05-19 09:37:36.072389,2026-05-19 09:37:36.463635,0 days 00:00:00.391246,48,1.9061527848219015,0.6013573693125439,0.0028353292693097175,4,0.7068151526398249,4000,PRUNED
65,0.2566998302936554,2026-05-19 09:37:36.470846,2026-05-19 09:37:36.663046,0 days 00:00:00.192200,32,3.719100837298919,0.13096023131758514,0.0032602081031525613,2,0.45073759826959636,4000,PRUNED
66,5.000128658139147e-05,2026-05-19 09:37:36.670795,2026-05-19 09:37:52.154208,0 days 00:00:15.483413,64,1.5168730257058265,0.9086844359724805,0.00989670783320152,4,0.8108616147013324,5000,COMPLETE
67,8.340013300767168e-05,2026-05-19 09:37:52.164469,2026-05-19 09:38:05.681424,0 days 00:00:13.516955,64,1.2414497489260734,0.9523791363220887,0.009184374369929693,4,0.8065477109648651,5000,COMPLETE
68,0.09905065596103668,2026-05-19 09:38:05.692240,2026-05-19 09:38:05.955433,0 days 00:00:00.263193,80,1.2331040480797826,1.4164416881576782,0.009838651498123296,4,0.7819458499536234,5000,PRUNED
69,6.354934157570824e-05,2026-05-19 09:38:05.962935,2026-05-19 09:38:21.092180,0 days 00:00:15.129245,64,1.1650445657234192,0.9494386915798098,0.008295652619818931,4,0.8544588320907119,5000,COMPLETE
70,0.10052766650915146,2026-05-19 09:38:21.103557,2026-05-19 09:38:21.337579,0 days 00:00:00.234022,64,1.182291101352288,1.8947731391820382,0.008213233682295384,4,0.8575967977371792,5000,PRUNED
71,0.001837564050219953,2026-05-19 09:38:21.344628,2026-05-19 09:38:25.627177,0 days 00:00:04.282549,64,1.3865902004316466,0.8934192630529328,0.008782294079838056,4,0.8010207386551518,5000,PRUNED
72,0.10354505479335785,2026-05-19 09:38:25.636215,2026-05-19 09:38:25.871930,0 days 00:00:00.235715,96,1.786140142642835,0.868969255992109,0.007053017436673455,4,0.8442558610398514,5000,PRUNED
73,0.13220882415771484,2026-05-19 09:38:25.880795,2026-05-19 09:38:26.118336,0 days 00:00:00.237541,80,99.03907648466542,0.7186480910796049,0.00981799045212261,4,0.8057103044930316,5000,PRUNED
74,0.1239396259188652,2026-05-19 09:38:26.126408,2026-05-19 09:38:26.381912,0 days 00:00:00.255504,64,1.0113503484740576,2.3980199663015718,0.007032327026846276,4,0.7332116765879215,5000,PRUNED
75,8.865343261277303e-05,2026-05-19 09:38:26.391530,2026-05-19 09:38:46.056164,0 days 00:00:19.664634,64,1.4380114206403187,0.41777660564705765,0.005056476617591897,4,0.7627853113981102,5000,COMPLETE
76,0.006208666600286961,2026-05-19 09:38:46.068531,2026-05-19 09:38:48.256809,0 days 00:00:02.188278,64,1.4270594953759632,0.35710642440575924,0.005011516520417803,4,0.7693423372950409,5000,PRUNED
77,0.009577427990734577,2026-05-19 09:38:48.264974,2026-05-19 09:38:49.805869,0 days 00:00:01.540895,112,1.157260344326896,0.0012205945242266213,0.0064608397755704485,4,0.8764955760256812,5000,PRUNED
78,0.061357736587524414,2026-05-19 09:38:49.813159,2026-05-19 09:38:50.240004,0 days 00:00:00.426845,80,1.995403708088669,0.16585104268201414,0.007708994757492588,4,0.7583051668866467,5000,PRUNED
79,0.010042158886790276,2026-05-19 09:38:50.247749,2026-05-19 09:38:51.864940,0 days 00:00:01.617191,64,9.432130818831691,1.4636167397390636,0.008857015539813304,4,0.3011511604460077,5000,PRUNED
80,0.09467373788356781,2026-05-19 09:38:51.873934,2026-05-19 09:38:52.103575,0 days 00:00:00.229641,96,28.834006918763862,0.9335085818810979,0.004581379175797381,4,0.81189754595493,5000,PRUNED
81,0.0012098641600459814,2026-05-19 09:38:52.112374,2026-05-19 09:38:57.481244,0 days 00:00:05.368870,48,1.572297423951026,0.463705727981394,0.005637218194530082,4,0.8352633647972181,5000,PRUNED
82,0.0696781650185585,2026-05-19 09:38:57.488444,2026-05-19 09:38:57.961308,0 days 00:00:00.472864,64,1.696972595117542,0.2510620199293855,0.00251742838154027,4,0.7887784142094403,5000,PRUNED
83,0.00835536327213049,2026-05-19 09:38:57.968579,2026-05-19 09:38:59.791127,0 days 00:00:01.822548,48,2.69493965531408,0.6861631698522925,0.0077356070126113905,4,0.8660689132574687,5000,PRUNED
84,0.00963942613452673,2026-05-19 09:38:59.799117,2026-05-19 09:39:01.473546,0 days 00:00:01.674429,64,2.4018872846260106,1.1305752031264384,0.005535171649975573,4,0.3361517346575549,5000,PRUNED
85,0.09655360877513885,2026-05-19 09:39:01.482810,2026-05-19 09:39:01.711165,0 days 00:00:00.228355,80,1.3746953129921389,0.40599027495563694,0.004030452327868841,4,0.49494872167434895,5000,PRUNED
86,0.004379152785986662,2026-05-19 09:39:01.718394,2026-05-19 09:39:03.746786,0 days 00:00:02.028392,64,1.7419346906025257,0.5329093152283501,0.006545467329086197,3,0.5483885824893608,5000,PRUNED
87,0.10332763195037842,2026-05-19 09:39:03.753827,2026-05-19 09:39:03.994023,0 days 00:00:00.240196,48,1.0964651675480845,0.21874640655941233,0.0049951655323504165,4,0.6879111043520905,4000,PRUNED
88,0.10845722258090973,2026-05-19 09:39:04.001451,2026-05-19 09:39:04.200602,0 days 00:00:00.199151,80,6.427224841963096,0.0797967340917047,0.0032331282076106293,3,0.7242317099507362,5000,PRUNED
89,0.06203116104006767,2026-05-19 09:39:04.208156,2026-05-19 09:39:04.711567,0 days 00:00:00.503411,96,1.9758083665282153,0.3177091755923044,0.00365330257122865,5,0.5236078566325483,4000,PRUNED
90,0.009694887325167656,2026-05-19 09:39:04.720402,2026-05-19 09:39:06.272637,0 days 00:00:01.552235,64,12.350903137086352,4.059106774639402,0.008347579144386576,4,0.7577478504573675,5000,PRUNED
91,0.10002092272043228,2026-05-19 09:39:06.282401,2026-05-19 09:39:06.532886,0 days 00:00:00.250485,64,2.266641227099977,0.1525702341353015,0.0039043834555348533,5,0.8236894412701778,2000,PRUNED
92,0.10105352848768234,2026-05-19 09:39:06.542135,2026-05-19 09:39:06.764672,0 days 00:00:00.222537,64,1.4748850849609163,0.11543264342999124,0.0015849803897821082,5,0.8536426904909524,2000,PRUNED
93,0.11225568503141403,2026-05-19 09:39:06.772363,2026-05-19 09:39:07.050586,0 days 00:00:00.278223,48,3.0635870193473718,0.7111641593364216,0.0027106818678554988,6,0.39645099048908006,3000,PRUNED
94,0.050999805331230164,2026-05-19 09:39:07.057589,2026-05-19 09:39:07.656876,0 days 00:00:00.599287,64,1.2959160585613188,0.26638466862337296,0.0042154550887350635,5,0.7718149572608926,2000,PRUNED
95,0.0979573205113411,2026-05-19 09:39:07.664808,2026-05-19 09:39:07.838705,0 days 00:00:00.173897,80,3.347396571103387,0.1867187290784537,0.004726781077492216,3,0.7952170829152654,5000,PRUNED
96,0.0713028833270073,2026-05-19 09:39:07.846422,2026-05-19 09:39:08.236209,0 days 00:00:00.389787,64,2.6666542822349113,0.3871887846254174,0.0020854106862834877,4,0.8345307005179634,1000,PRUNED
97,0.07010137289762497,2026-05-19 09:39:08.245706,2026-05-19 09:39:08.685014,0 days 00:00:00.439308,48,2.1174966171662315,0.9685462650313768,0.0031310525630291216,5,0.8100611112164213,3000,PRUNED
98,8.618267020210624e-05,2026-05-19 09:39:08.694401,2026-05-19 09:39:18.164926,0 days 00:00:09.470525,64,1.578521707587353,0.5555757701166606,0.007276745732891435,3,0.5729105717694102,4000,COMPLETE
99,0.10825211554765701,2026-05-19 09:39:18.174284,2026-05-19 09:39:18.375269,0 days 00:00:00.200985,32,1.6346033639341397,1.6560818284171352,0.009359038557821275,3,0.5293473351308033,4000,PRUNED
100,0.09266524016857147,2026-05-19 09:39:18.381792,2026-05-19 09:39:18.562238,0 days 00:00:00.180446,80,1.850960442207669,0.4957207345360211,0.007320163373767806,3,0.5832034145764513,4000,PRUNED
101,9.96067319647409e-05,2026-05-19 09:39:18.568598,2026-05-19 09:39:30.887996,0 days 00:00:12.319398,64,1.126358213707789,0.3157692782203527,0.006176646656775261,3,0.5766630005394348,4000,COMPLETE
102,0.10497362911701202,2026-05-19 09:39:30.905951,2026-05-19 09:39:31.124535,0 days 00:00:00.218584,64,1.2926702440984164,1.208691051444647,0.00613153804509353,3,0.5644488675375331,4000,PRUNED
103,0.008924157358705997,2026-05-19 09:39:31.131852,2026-05-19 09:39:32.507131,0 days 00:00:01.375279,64,1.1304868469251388,0.6000538145229477,0.005397507605092565,3,0.6345415042760307,4000,PRUNED
104,0.0006559129687957466,2026-05-19 09:39:32.515799,2026-05-19 09:39:38.384894,0 days 00:00:05.869095,64,1.4789624094621205,0.40850535520728243,0.006643166465858274,3,0.5747642947818336,4000,PRUNED
105,0.09519056230783463,2026-05-19 09:39:38.393548,2026-05-19 09:39:38.597544,0 days 00:00:00.203996,64,1.1394150769903248,0.741847493546341,0.008462545152274578,3,0.61999831917365,4000,PRUNED
106,0.09236098825931549,2026-05-19 09:39:38.605050,2026-05-19 09:39:38.776827,0 days 00:00:00.171777,48,1.6531729128590125,0.336931967552285,0.00786924656319017,2,0.6636141281443847,4000,PRUNED
107,0.09369136393070221,2026-05-19 09:39:38.784401,2026-05-19 09:39:39.040795,0 days 00:00:00.256394,64,19.898219354960904,0.30468372349747996,0.006057967518993964,4,0.5547120321503453,4000,PRUNED
108,0.1022617444396019,2026-05-19 09:39:39.048351,2026-05-19 09:39:39.277326,0 days 00:00:00.228975,96,1.3705614571150309,0.5259105305653184,0.005280103643298474,4,0.5045349984011709,5000,PRUNED
109,0.10849884897470474,2026-05-19 09:39:39.285267,2026-05-19 09:39:39.478892,0 days 00:00:00.193625,128,1.1886873415609744,0.2248013254299868,0.0008239272476380342,3,0.5997555164008281,4000,PRUNED
110,0.10671981424093246,2026-05-19 09:39:39.487453,2026-05-19 09:39:39.743250,0 days 00:00:00.255797,80,1.5057100225307998,2.246316399424978,0.009297865634593306,4,0.6141602931813841,5000,PRUNED
111,0.06971301883459091,2026-05-19 09:39:39.752957,2026-05-19 09:39:40.144986,0 days 00:00:00.392029,64,2.3259671186606403,0.6274379586328974,0.0035932561831132945,3,0.5393255758755886,3000,PRUNED
112,0.021264705806970596,2026-05-19 09:39:40.153659,2026-05-19 09:39:41.379821,0 days 00:00:01.226162,64,1.8037322737598587,0.99024576736465,0.004279723463262088,4,0.7845295592358943,4000,PRUNED
113,0.00014717686281073838,2026-05-19 09:39:41.386921,2026-05-19 09:39:59.045303,0 days 00:00:17.658382,64,2.0722932971958636,0.2637474643663436,0.00727629742379316,6,0.8831169369359005,5000,COMPLETE
114,0.1140231117606163,2026-05-19 09:39:59.058610,2026-05-19 09:39:59.250962,0 days 00:00:00.192352,48,1.2854861520781835,1.3508553713711602,0.004457806732283669,3,0.5807619622667173,5000,PRUNED
115,0.09849566221237183,2026-05-19 09:39:59.257372,2026-05-19 09:39:59.408378,0 days 00:00:00.151006,64,4.033074149748923,0.7956500651303134,0.0099787179321329,2,0.8205490876270383,2000,PRUNED
116,0.13263534009456635,2026-05-19 09:39:59.415099,2026-05-19 09:39:59.657110,0 days 00:00:00.242011,112,1.0743771045579493,0.18341336380194392,0.0004543316750931285,4,0.8436168755562795,4000,PRUNED
117,0.21403293311595917,2026-05-19 09:39:59.664567,2026-05-19 09:39:59.861356,0 days 00:00:00.196789,16,1.5792981041721255,0.09080309298359836,0.002954568707011886,3,0.6443974463354311,5000,PRUNED
118,0.02680831216275692,2026-05-19 09:39:59.869091,2026-05-19 09:40:00.916737,0 days 00:00:01.047646,48,1.945170909894837,0.4680671797764342,0.0057855459791631165,4,0.8670378247017073,1000,PRUNED
119,0.09922569245100021,2026-05-19 09:40:00.923749,2026-05-19 09:40:01.155531,0 days 00:00:00.231782,64,1.002874584276841,0.06360659296767648,0.006658277340108107,4,0.47981237501228025,4000,PRUNED
120,0.078926682472229,2026-05-19 09:40:01.163339,2026-05-19 09:40:01.519840,0 days 00:00:00.356501,80,4.921550887102245,0.13786387550804755,0.004761375676150131,3,0.5637045307703927,3000,PRUNED
