number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_hidden,params_lambda_ic,params_lambda_phys,params_lr,params_n_layers,params_scheduler_gamma,params_scheduler_step,state
63,0.0023262451868504286,2026-05-17 19:09:30.815858,2026-05-17 19:09:42.489912,0 days 00:00:11.674054,0.9418282449304838,0.9931961358163743,80,2.809650838374207,0.05798271088636744,0.004919564495448745,4,0.8831190705656629,5000,COMPLETE
64,0.030434077605605125,2026-05-17 19:09:42.502240,2026-05-17 19:09:42.870058,0 days 00:00:00.367818,0.9424207082105149,0.9932257671025599,80,4.988077786741707,0.0495331125299541,0.002430902796212995,4,0.8438185584987947,5000,PRUNED
65,0.04030584171414375,2026-05-17 19:09:42.878978,2026-05-17 19:09:43.071252,0 days 00:00:00.192274,0.9505698967054745,0.9921871745814483,96,1.9867923557440827,0.1228484934339697,0.004931235354440734,4,0.8869844471225093,5000,PRUNED
66,0.038103137165308,2026-05-17 19:09:43.078634,2026-05-17 19:09:43.265710,0 days 00:00:00.187076,0.9362649793104675,0.9943995804989785,80,1.4457768185155861,0.063065648543326,0.006534119428127927,4,0.779777839479394,5000,PRUNED
67,0.014525224454700947,2026-05-17 19:09:43.272655,2026-05-17 19:09:43.827579,0 days 00:00:00.554924,0.9192795320069727,0.9935550818982387,112,1.2053332816957008,0.01350455160154072,0.0040393433593422035,3,0.37178144471355534,5000,PRUNED
68,0.0290667861700058,2026-05-17 19:09:43.833644,2026-05-17 19:09:44.178061,0 days 00:00:00.344417,0.9575613592096576,0.9931053048291284,96,8.771083356718792,0.2876516066785045,0.005240098123619107,4,0.6999812864542654,5000,PRUNED
69,0.21683195233345032,2026-05-17 19:09:44.184490,2026-05-17 19:09:44.394655,0 days 00:00:00.210165,0.8727953592592896,0.9904969175643766,48,34.15014675963634,0.0087204232940085,0.0027616120095983097,5,0.6216295956736096,4000,PRUNED
70,0.04067988693714142,2026-05-17 19:09:44.400631,2026-05-17 19:09:44.567133,0 days 00:00:00.166502,0.8960610262881429,0.9948626787694317,64,1.6579808047166433,0.019292397938167977,0.003481757647033867,3,0.8244105980495288,5000,PRUNED
71,0.07015545666217804,2026-05-17 19:09:44.573090,2026-05-17 19:09:44.759688,0 days 00:00:00.186598,0.9494865206481541,0.9912537412339237,80,2.166844444370109,0.2108429616481156,0.0009973481472644618,4,0.47238791979317,5000,PRUNED
72,0.014829475432634354,2026-05-17 19:09:44.765465,2026-05-17 19:09:45.403040,0 days 00:00:00.637575,0.9151471012875608,0.9965485833283366,80,3.1870183937848626,0.03286206491463148,0.008369788338992133,4,0.8766764074762394,5000,PRUNED
73,0.0023678906727582216,2026-05-17 19:09:45.409323,2026-05-17 19:09:55.750792,0 days 00:00:10.341469,0.9054797080662623,0.9917704422829193,96,2.8634845309318315,0.06427107767060525,0.006159075382283373,4,0.8503137991773306,5000,COMPLETE
74,0.0023513189516961575,2026-05-17 19:09:55.759000,2026-05-17 19:10:07.523899,0 days 00:00:11.764899,0.9049292335360348,0.9908544057925678,96,4.569862036701732,0.1432120731383236,0.00616139896505596,4,0.8500746452989281,5000,COMPLETE
75,0.036391425877809525,2026-05-17 19:10:07.532193,2026-05-17 19:10:07.765976,0 days 00:00:00.233783,0.9054624177261454,0.9903671718019785,112,4.553692914082914,0.14812484959474398,0.005737736483772567,4,0.8100452719575811,5000,PRUNED
76,0.02296416647732258,2026-05-17 19:10:07.773522,2026-05-17 19:10:08.154941,0 days 00:00:00.381419,0.9020500278674716,0.9907495322183523,96,1.4656125414739185,0.09304157993771994,0.004292997246270293,5,0.8406922373252249,5000,PRUNED
77,0.04198794439435005,2026-05-17 19:10:08.161393,2026-05-17 19:10:08.350779,0 days 00:00:00.189386,0.9086893768241042,0.9909422961813148,96,6.461989102408536,0.35808589657085244,0.0021882052249144503,4,0.4325675985836709,5000,PRUNED
78,0.024095220491290092,2026-05-17 19:10:08.357087,2026-05-17 19:10:08.654077,0 days 00:00:00.296990,0.8907138037983272,0.9901616521529778,112,3.7575712781137214,0.05050787408791294,0.0031950293381795727,3,0.6510131875373232,5000,PRUNED
79,0.022776858881115913,2026-05-17 19:10:08.660082,2026-05-17 19:10:09.002637,0 days 00:00:00.342555,0.8966607186014884,0.9914116719390829,96,2.381724242959972,0.07091549610032036,0.004998049520209809,4,0.7431056718032555,4000,PRUNED
80,0.0395406037569046,2026-05-17 19:10:09.009489,2026-05-17 19:10:09.199202,0 days 00:00:00.189713,0.8775210636021039,0.9922768036916519,112,2.0574355503080946,0.5142629252151244,0.0064358114149489385,4,0.8547812828343195,5000,PRUNED
81,0.0022901897318661213,2026-05-17 19:10:09.206662,2026-05-17 19:10:21.283400,0 days 00:00:12.076738,0.9099229089587317,0.9913649106933661,112,3.10988297335392,0.1909928711400585,0.004054817464259742,5,0.7780290074059925,4000,COMPLETE
82,0.025177469477057457,2026-05-17 19:10:21.294938,2026-05-17 19:10:21.776199,0 days 00:00:00.481261,0.9098262316603807,0.9910538715897128,112,3.4906660043732844,0.18133703423821607,0.004450440746575216,5,0.7881979091592659,4000,PRUNED
83,0.03640799969434738,2026-05-17 19:10:21.785183,2026-05-17 19:10:21.998833,0 days 00:00:00.213650,0.9156941069528238,0.990568041493617,128,3.1108104505232848,0.15249959772995042,0.0036793718639463076,5,0.7754400676550306,5000,PRUNED
84,0.002394323004409671,2026-05-17 19:10:22.006118,2026-05-17 19:10:33.538023,0 days 00:00:11.531905,0.9205064920377316,0.9914699739377281,112,2.5932069887191718,0.10121571091919285,0.005189402402745732,5,0.8268529785003431,5000,COMPLETE
85,0.0025065522640943527,2026-05-17 19:10:33.546129,2026-05-17 19:10:44.904022,0 days 00:00:11.357893,0.9280574994799167,0.9914360626678974,128,2.6473746908317852,0.04324400926127831,0.005540253924297034,5,0.8214275262906391,5000,COMPLETE
86,0.0024771629832684994,2026-05-17 19:10:44.913356,2026-05-17 19:10:56.217065,0 days 00:00:11.303709,0.9212810964012202,0.9918729499930968,112,4.480478865507599,0.10505922581335207,0.007840544771644496,5,0.8451958288572932,3000,COMPLETE
87,0.027363285422325134,2026-05-17 19:10:56.224977,2026-05-17 19:10:56.713674,0 days 00:00:00.488697,0.9042943188681056,0.9909053337587083,112,3.0865300076122892,0.26643686374995673,0.003990063126512199,5,0.899151191796825,5000,PRUNED
88,0.00247528706677258,2026-05-17 19:10:56.720878,2026-05-17 19:11:07.974933,0 days 00:00:11.254055,0.8996844769670104,0.9914683886495861,128,4.055398523171464,0.0807922857003041,0.007160960276869001,5,0.8046461904490746,4000,COMPLETE
89,0.01168765313923359,2026-05-17 19:11:07.983316,2026-05-17 19:11:10.426344,0 days 00:00:02.443028,0.9099798303001294,0.9912096404184666,96,2.4762312384652363,0.06558153195120468,0.008927111859291386,6,0.8582902566981001,5000,PRUNED
90,0.0355754978954792,2026-05-17 19:11:10.434075,2026-05-17 19:11:10.671735,0 days 00:00:00.237660,0.9180385415930484,0.9924971967634685,128,6.0370991251153985,0.12786211603713535,0.006216536472334703,6,0.8281439932113747,5000,PRUNED
91,0.0033777370117604733,2026-05-17 19:11:10.678487,2026-05-17 19:11:16.983127,0 days 00:00:06.304640,0.9282409961311637,0.9920686810266691,112,1.7554502219264274,0.02785780109161824,0.004734600738773761,5,0.8795210796574153,5000,PRUNED
92,0.06808934360742569,2026-05-17 19:11:16.990205,2026-05-17 19:11:17.187992,0 days 00:00:00.197787,0.9417658533929272,0.9916883745361941,96,1.127474501113896,0.23416073660953474,0.002883556357252497,4,0.4028138722590676,5000,PRUNED
93,0.043869007378816605,2026-05-17 19:11:17.194160,2026-05-17 19:11:17.386238,0 days 00:00:00.192078,0.9216292854845421,0.9902066222453213,96,2.1539420953882433,0.18972054136112115,0.005302350343226039,4,0.5804993427524381,5000,PRUNED
94,0.04786307364702225,2026-05-17 19:11:17.392326,2026-05-17 19:11:17.579556,0 days 00:00:00.187230,0.9345493886366971,0.9908171177868242,80,1.3173844747596035,0.10471493645235684,0.003995902631657362,4,0.8373576138389107,5000,PRUNED
95,0.06801944226026535,2026-05-17 19:11:17.585583,2026-05-17 19:11:17.793052,0 days 00:00:00.207469,0.9119643156326085,0.995676627931973,96,2.8751496871823603,0.04496654650567007,0.0007964927325737353,5,0.7277622236013064,5000,PRUNED
96,0.0652346983551979,2026-05-17 19:11:17.798821,2026-05-17 19:11:17.989122,0 days 00:00:00.190301,0.93946598179364,0.9962059909378447,112,4.97226459811007,3.829072224478121,0.0033411846165187224,4,0.868641763664457,5000,PRUNED
97,0.055639542639255524,2026-05-17 19:11:17.995115,2026-05-17 19:11:18.183330,0 days 00:00:00.188215,0.9307527418288711,0.9984471048576201,32,3.629447825907853,0.37313851687919397,0.006086718566859144,4,0.7941748790987674,5000,PRUNED
