run,zeta_true,zeta_pred,omega_0_true,omega_0_pred,abs_error_zeta,rel_error_zeta_pct,abs_error_omega_0,rel_error_omega_0_pct,best_val_loss,damped_case
95,0.5445409920010392,0.5636048316955566,3.8943713848603587,3.0346598625183105,0.019063839694517415,3.5009007539474704,0.8597115223420482,22.075745669358522,5.440160020953044e-05,underdamped
96,0.6148255764687347,0.6052941679954529,1.3088599158089733,1.3356884717941284,0.009531408473281822,1.5502621943650576,0.0268285559851551,2.0497652698434914,7.44031149224611e-06,underdamped
97,1.6446810006269432,1.4197481870651245,2.796007140837225,2.4477272033691406,0.2249328135618187,13.676379399778776,0.3482799374680843,12.456332188185927,4.421496487339027e-05,overdamped
98,1.0806460229498187,1.0423129796981812,1.6863777742560622,1.6359835863113403,0.038333043251637555,3.547234009800969,0.050394187944721835,2.9883095421459167,9.701697308628354e-06,overdamped
99,0.8211341427148153,0.7996159195899963,3.4169609195656783,3.448305368423462,0.02151822312481899,2.620549068106695,0.03134444885778365,0.9173195010309853,3.888269930030219e-05,underdamped
100,0.49563136029664395,0.5096680521965027,1.3461426427879608,1.3618202209472656,0.014036691899858733,2.8320830811548183,0.015677578159304817,1.1646297844658866,1.662258364376612e-05,underdamped
101,0.2969177344223742,0.30319729447364807,2.277636528618355,2.2869951725006104,0.006279560051273891,2.1149157908974994,0.009358643882255269,0.41089277260285023,4.363128755358048e-05,underdamped
102,1.6957262257463035,1.4840177297592163,1.9154689909672746,1.7077555656433105,0.2117084959870872,12.484827607941988,0.20771342532396408,10.843998326439774,2.088794281007722e-05,overdamped
103,1.9690151152972177,1.6235915422439575,2.515493971220608,2.0888631343841553,0.3454235730532602,17.54296197980783,0.42663083683645286,16.960121618953284,4.5891618356108665e-05,overdamped
104,0.48896643667411654,0.4946281909942627,3.1202519500925505,3.2484264373779297,0.005661754320146151,1.1579024439093686,0.12817448728537917,4.107824923611612,2.740758645813912e-05,underdamped
105,1.7919293592159602,1.6030389070510864,1.2150612683642568,1.0963549613952637,0.18889045216487377,10.541177373617048,0.11870630696899309,9.769573770448483,1.2023502677038778e-05,overdamped
106,1.5335199412999212,1.3381693363189697,2.879107344352047,2.5869288444519043,0.19535060498095147,12.738706535198904,0.2921784999001429,10.148232245432261,6.783601565985009e-05,overdamped
107,0.7021460547408847,0.7074830532073975,0.4538867878785813,0.4367547035217285,0.00533699846651281,0.7600980494695425,0.01713208435685276,3.7745281013634058,6.25755137662054e-06,underdamped
108,0.5141166925235315,0.5264140963554382,2.059915573858421,2.07985258102417,0.012297403831906695,2.391947978103013,0.019937007165748977,0.9678555480021463,1.4828024177404586e-05,underdamped
109,1.2664281918967617,1.2453885078430176,1.430128764604672,1.375756025314331,0.021039684053744123,1.6613404682844632,0.05437273929034103,3.8019471138580436,2.5398816433153115e-05,overdamped
110,0.17905019600749264,0.18587173521518707,1.7783163132180457,1.7840180397033691,0.0068215392076944326,3.80984738347283,0.005701726485323411,0.3206249890946314,6.921387102920562e-05,underdamped
111,0.6082848756337619,0.6031370759010315,1.8991304784478498,1.9068715572357178,0.005147799732730385,0.8462810664767849,0.007741078787868005,0.4076117399892793,1.3143362593837082e-05,underdamped
112,1.0,0.9679213166236877,0.6523033016886777,0.6146569848060608,0.032078683376312256,3.2078683376312256,0.03764631688261688,5.771290254879654,6.5770150285970885e-06,critically_damped
113,0.840043095395457,0.8100675344467163,3.955142191693458,2.8379807472229004,0.029975560948740654,3.5683360904989545,1.1171614444705575,28.245797251406195,0.00010110495350090787,underdamped
114,1.2036274568477003,1.1564009189605713,1.6388247836279715,1.6064680814743042,0.04722653788712905,3.9236839952800118,0.03235670215366726,1.974384478250149,1.5814965081517585e-05,overdamped
115,0.21359849055683358,0.21890053153038025,1.7067410827127243,1.717393398284912,0.005302040973546668,2.4822464614448756,0.01065231557218782,0.6241319014397217,1.885175697680097e-05,underdamped
116,1.4975684502744675,1.0904268026351929,3.412248004881289,2.4756131172180176,0.40714164763927463,27.186847289995697,0.9366348876632715,27.449203174077514,4.984825864084996e-05,overdamped
117,0.4976958456053058,0.5103355050086975,2.336967517122856,2.4460229873657227,0.012639659403391734,2.5396353043733315,0.10905547024286655,4.666537700837603,2.8523840228444897e-05,underdamped
118,0.7983003023981238,0.7824697494506836,0.47231578097566074,0.464038223028183,0.01583055294744018,1.9830323125125484,0.008277557947477754,1.7525474017359397,2.140251353921485e-06,underdamped
119,0.28812079084349845,0.3023277521133423,2.987184233472539,2.9597911834716797,0.014206961269843832,4.930904579378575,0.027393050000859454,0.9170191009282211,7.29078019503504e-05,underdamped
120,1.8687690623503646,1.5704894065856934,2.334297217071714,1.9806840419769287,0.2982796557646712,15.961290336726929,0.35361317509478507,15.148592583183525,4.922333391732536e-05,overdamped
121,0.07441340325756854,0.07905107736587524,3.6332872368288966,3.629615306854248,0.004637674108306705,6.232310182420007,0.0036719299746486023,0.10106357508506353,8.317392348544672e-05,underdamped
122,0.02730157289034967,0.027771122753620148,1.911102627237753,1.9076601266860962,0.00046954986327047907,1.7198637791174722,0.0034425005516567353,0.18013164246613048,3.430901779211126e-05,underdamped
123,0.7818482312480955,0.7640500068664551,3.036955103128697,3.098302125930786,0.01779822438164047,2.2764295767771263,0.061347022802089146,2.020017442434,2.4129038138198666e-05,underdamped
