trial,state,rmse,hidden,n_layers,lambda_phys,lambda_ic,lr,scheduler_gamma,scheduler_step
706,complete,0.0001876779570011422,64,6,0.0831891154301652,1.1603647550442653,0.009349876264852126,0.7225649248091285,4000
750,complete,5.787261761724949e-05,64,6,0.19112999827190408,1.0768395313372507,0.007809494513418944,0.7346182211295613,4000
755,complete,1.8085218471242115e-05,64,6,0.24630857020206118,1.3679644471974322,0.007550928744152998,0.6833849629201456,4000
768,complete,9.94637084659189e-05,64,6,0.19394367719140118,1.0829660150190927,0.009994417314049805,0.7234139253238998,4000
773,complete,8.506148151354864e-05,64,6,0.22839146955453274,1.3791903199142197,0.009907576833507587,0.44597483687912004,4000
779,complete,0.0001266094477614388,64,6,0.29708917888350106,1.333350312406002,0.009207331620498312,0.4516912044870742,4000
783,complete,1.5389507098007016e-05,64,6,0.23075547694115664,1.2322348585912897,0.007838181229075033,0.45681946953522234,4000
785,complete,4.465428719413467e-05,64,6,0.2763222989255582,1.215825349282711,0.008546710147402346,0.45072427393745795,4000
793,complete,0.00017815192404668778,64,6,0.22915851947103177,1.1923549069597135,0.009254300133752669,0.46345571733391355,4000
842,complete,0.00016234868962783366,64,6,0.1419949901902334,1.0688174655865728,0.009954583217082407,0.7479688896607671,2000
854,complete,5.0618571549421176e-05,64,6,0.21308194558566984,1.124184547008544,0.009128718398220008,0.6996502173373929,2000
875,complete,4.1628423787187785e-05,64,6,0.1890894705942889,1.2775428007032739,0.008744718033790259,0.744977037745463,2000
885,complete,0.00014857150381430984,64,6,0.2465170270420461,1.2972687268506058,0.009026236077191796,0.7321835007998535,2000
913,complete,0.00012414049706421793,64,6,0.23874594214694306,1.336643199948104,0.009993323549775092,0.7522783458675827,4000
924,complete,4.7716432163724676e-05,64,6,0.27194875452829903,1.3019362710785516,0.008269052843191611,0.827498003927193,5000
