number,value,datetime_start,datetime_complete,duration,params_hidden,params_lambda_ic,params_lambda_phys,params_lr,params_n_layers,params_scheduler_gamma,params_scheduler_step,state
38,8.143422019202262e-05,2026-05-19 00:39:12.713069,2026-05-19 00:39:13.021294,0 days 00:00:00.308225,80,4.723236278300535,0.16287933697802037,0.005936259298083645,3,0.6391765604716769,1000,PRUNED
39,0.004842572845518589,2026-05-19 00:39:13.028191,2026-05-19 00:39:13.228283,0 days 00:00:00.200092,32,1.3124804937175762,0.048856141353005776,0.0009328131472969015,4,0.3523655093022309,5000,PRUNED
40,0.08278366923332214,2026-05-19 00:39:13.235208,2026-05-19 00:39:13.460163,0 days 00:00:00.224955,16,11.00246465101185,0.01932664668364179,0.0003069227699097745,5,0.5931420611602221,2000,PRUNED
41,0.004265798255801201,2026-05-19 00:39:13.466695,2026-05-19 00:39:13.690937,0 days 00:00:00.224242,112,4.530031870999897,0.6548854161310279,0.009636358102984244,5,0.4893104240013889,2000,PRUNED
42,5.638882066705264e-05,2026-05-19 00:39:13.697658,2026-05-19 00:39:15.144216,0 days 00:00:01.446558,64,6.010154185076379,1.008073501573151,0.008190157462094411,6,0.5371060032786577,2000,PRUNED
43,0.003396562533453107,2026-05-19 00:39:15.150877,2026-05-19 00:39:15.371491,0 days 00:00:00.220614,32,2.174738834039442,1.7537707785756609,0.009554887391014451,5,0.4379399178350144,3000,PRUNED
44,2.0582219804055057e-05,2026-05-19 00:39:15.379659,2026-05-19 00:39:19.840601,0 days 00:00:04.460942,128,5.1741505292779335,0.7050595029215977,0.006828711713095137,6,0.40223654849889995,3000,COMPLETE
45,0.03475533053278923,2026-05-19 00:39:19.850552,2026-05-19 00:39:20.060809,0 days 00:00:00.210257,48,8.864116945155494,0.12385263164734742,0.00010189161943391766,4,0.4667425418562925,1000,PRUNED
46,0.02933923900127411,2026-05-19 00:39:20.070273,2026-05-19 00:39:20.239042,0 days 00:00:00.168769,16,3.813421650035918,0.00964951524546767,0.004300436256254248,3,0.5970629692934489,5000,PRUNED
47,0.0005296628805808723,2026-05-19 00:39:20.247194,2026-05-19 00:39:20.649383,0 days 00:00:00.402189,80,16.942348407267403,0.4512962942072673,0.0005649712586725708,5,0.8398467272174812,2000,PRUNED
48,0.0003473916440270841,2026-05-19 00:39:20.658010,2026-05-19 00:39:20.920604,0 days 00:00:00.262594,112,30.777427470757498,2.0033010970145178,0.005597660674367608,2,0.6836137577552831,4000,PRUNED
49,0.07261019200086594,2026-05-19 00:39:20.928957,2026-05-19 00:39:21.122532,0 days 00:00:00.193575,48,1.0066998956294553,5.373386598938263,0.0020443653430309563,4,0.5327921682934983,2000,PRUNED
50,5.662355033564381e-05,2026-05-19 00:39:21.130585,2026-05-19 00:39:21.878150,0 days 00:00:00.747565,64,1.8091938857958225,0.2092750561026444,0.003755651208220431,5,0.3710601558422602,1000,PRUNED
51,0.00013750266225542873,2026-05-19 00:39:21.884236,2026-05-19 00:39:22.191857,0 days 00:00:00.307621,48,1.1895953979898508,0.10833359676781988,0.008289765410700981,3,0.3333753753787062,5000,PRUNED
52,7.070475021464517e-06,2026-05-19 00:39:22.200166,2026-05-19 00:39:25.346632,0 days 00:00:03.146466,32,1.8304246357687528,0.5434294276144988,0.006267048333923201,3,0.3407313068939389,5000,COMPLETE
53,7.288649157999316e-06,2026-05-19 00:39:25.358906,2026-05-19 00:39:28.460807,0 days 00:00:03.101901,32,2.5021852995498834,0.5305780435311711,0.006652087917358626,3,0.38482917078445356,5000,COMPLETE
54,0.00022407381038647145,2026-05-19 00:39:28.472984,2026-05-19 00:39:28.789013,0 days 00:00:00.316029,32,2.4105567333674642,0.9209875451789987,0.004889558673942479,3,0.3332916941941444,5000,PRUNED
55,0.0002215633139712736,2026-05-19 00:39:28.795888,2026-05-19 00:39:29.059119,0 days 00:00:00.263231,16,1.7337590367048707,0.32024933307488523,0.006028174707615324,2,0.4181315635435865,5000,PRUNED
