number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_hidden,params_lambda_ic,params_lambda_phys,params_lr,params_n_layers,params_scheduler_gamma,params_scheduler_step,state
80,0.002917786128818989,2026-05-17 19:28:51.778878,2026-05-17 19:28:52.181202,0 days 00:00:00.402324,0.9590449314035396,0.9966759233524918,48,1.1483725010589645,0.2015165218008911,0.0010070752527500289,5,0.5472720590548962,5000,PRUNED
81,0.0031315262895077467,2026-05-17 19:28:52.187650,2026-05-17 19:28:52.584729,0 days 00:00:00.397079,0.8594963018739725,0.9954900905489988,64,1.284678312487588,0.30341085173039795,0.002676887686629725,5,0.6353332136687687,5000,PRUNED
82,0.00781985279172659,2026-05-17 19:28:52.592584,2026-05-17 19:28:52.768516,0 days 00:00:00.175932,0.8701268296054815,0.9919036449724682,48,19.96320123335338,0.09245735788762571,0.0024094262200564176,3,0.6705690951696064,5000,PRUNED
83,0.00355722033418715,2026-05-17 19:28:52.775312,2026-05-17 19:28:52.973659,0 days 00:00:00.198347,0.8889049397408996,0.9948608231448284,80,1.3600054669681831,0.4642873852519793,0.0006158755968997992,4,0.5846698951614008,5000,PRUNED
84,0.004957083147019148,2026-05-17 19:28:52.979671,2026-05-17 19:28:53.197357,0 days 00:00:00.217686,0.8526402306988862,0.9950974922773698,64,1.705293508115189,0.2604836240616444,0.002923580913159742,5,0.6046453193346132,5000,PRUNED
85,0.05753330886363983,2026-05-17 19:28:53.203682,2026-05-17 19:28:53.377043,0 days 00:00:00.173361,0.967381041219771,0.9944096645509417,64,1.005583592936019,0.7436004330552622,0.0040629848534496265,3,0.3170003316714802,3000,PRUNED
86,0.002568216295912862,2026-05-17 19:28:53.383036,2026-05-17 19:29:02.977433,0 days 00:00:09.594397,0.8576232170720036,0.9923429182898149,96,2.4209781750889863,0.5543796832413014,0.00156273285340275,4,0.7549004017303077,5000,COMPLETE
87,0.007563581224530935,2026-05-17 19:29:02.986475,2026-05-17 19:29:03.158206,0 days 00:00:00.171731,0.8584676239775096,0.9961620417981658,96,3.375172092080514,2.5701046712058617,0.0015472957778562416,3,0.771968504015656,3000,PRUNED
88,0.00420701177790761,2026-05-17 19:29:03.166480,2026-05-17 19:29:03.343429,0 days 00:00:00.176949,0.9173341633202491,0.9964505797412526,112,2.3454859219074082,0.6109574165880415,0.001953260353765886,3,0.856945488658666,4000,PRUNED
89,0.003934191539883614,2026-05-17 19:29:03.350713,2026-05-17 19:29:03.590973,0 days 00:00:00.240260,0.8823468478969004,0.995977272631927,96,2.9407284714236175,0.8966026571091,0.0011751126714173497,6,0.8381153546734924,5000,PRUNED
90,0.004069932736456394,2026-05-17 19:29:03.598912,2026-05-17 19:29:03.769133,0 days 00:00:00.170221,0.9616284433643135,0.992359291921575,96,4.24768836892138,1.194725409263363,0.00025976040574096957,3,0.35912644238222385,3000,PRUNED
91,0.0027583795599639416,2026-05-17 19:29:03.776426,2026-05-17 19:29:04.118219,0 days 00:00:00.341793,0.8760624799244459,0.9930007095285512,80,43.75214565077315,0.35327999900559837,0.0057059558107045785,4,0.7541077447582659,5000,PRUNED
92,0.0034764923620969057,2026-05-17 19:29:04.126230,2026-05-17 19:29:04.469804,0 days 00:00:00.343574,0.8560480734524423,0.9913272757795936,112,1.9204652878357067,0.48263370237054204,0.0017112796202692997,4,0.6681614657707263,5000,PRUNED
93,0.004192517604678869,2026-05-17 19:29:04.477234,2026-05-17 19:29:04.675586,0 days 00:00:00.198352,0.8634172398315857,0.9917456758743189,128,1.5280812624814086,0.14396444101253938,0.001339802106499474,4,0.7101154280398303,5000,PRUNED
94,0.002980333985760808,2026-05-17 19:29:04.683029,2026-05-17 19:29:05.036895,0 days 00:00:00.353866,0.8688118555506785,0.9928222761515054,64,2.5260493590898636,0.373800832751794,0.0030435156527781376,4,0.331484785293781,5000,PRUNED
95,0.002585188951343298,2026-05-17 19:29:05.043146,2026-05-17 19:29:16.481394,0 days 00:00:11.438248,0.8505756645602921,0.9922135667245437,80,1.7250716182385024,0.1868170117848599,0.002095110209360718,5,0.8994641761481803,5000,COMPLETE
96,0.004025561735033989,2026-05-17 19:29:16.489365,2026-05-17 19:29:16.742021,0 days 00:00:00.252656,0.9503797394007227,0.9921776570522021,80,1.7634602317728816,0.1922470572086365,0.0020918363269825956,5,0.8375070107535968,3000,PRUNED
97,0.002731134183704853,2026-05-17 19:29:16.750030,2026-05-17 19:29:17.136770,0 days 00:00:00.386740,0.8507023410877684,0.9957764565944002,80,2.1916743075591416,0.2579662144182609,0.0024568284720526985,5,0.8687491468778461,4000,PRUNED
98,0.0026502858381718397,2026-05-17 19:29:17.142946,2026-05-17 19:29:18.387563,0 days 00:00:01.244617,0.904035354514502,0.9931749639727773,80,2.754192862604659,0.5774300363219532,0.0011015757307143714,5,0.7244947756262115,5000,PRUNED
99,0.0028674204368144274,2026-05-17 19:29:18.393828,2026-05-17 19:29:19.636482,0 days 00:00:01.242654,0.8900894208293264,0.9909617799726381,96,9.115328486465126,0.3245216036497877,0.0017510758701870662,5,0.5649370775897689,4000,PRUNED
100,0.004049662966281176,2026-05-17 19:29:19.644521,2026-05-17 19:29:19.868358,0 days 00:00:00.223837,0.8968279827634822,0.9973238851410811,80,1.4271976367354033,0.843540131927584,0.0036030394681593526,5,0.3429233027452623,2000,PRUNED
101,0.002734860172495246,2026-05-17 19:29:19.875165,2026-05-17 19:29:20.215224,0 days 00:00:00.340059,0.855989566987217,0.9937665181655881,64,1.1045688938235996,0.0668475866586986,0.0067464293046950044,4,0.3117357216244631,5000,PRUNED
102,0.0027136686258018017,2026-05-17 19:29:20.222293,2026-05-17 19:29:20.520618,0 days 00:00:00.298325,0.8580978194096757,0.9922852740037634,48,1.2460405853336256,0.16129976440096333,0.0027586140742445584,3,0.8255173958836328,5000,PRUNED
103,0.003004872240126133,2026-05-17 19:29:20.528052,2026-05-17 19:29:20.875660,0 days 00:00:00.347608,0.853548114999715,0.9920675388441003,80,1.6325402247995768,0.12999458941620348,0.003997592213760413,4,0.6326280708487544,5000,PRUNED
104,0.0027577534783631563,2026-05-17 19:29:20.883311,2026-05-17 19:29:21.192855,0 days 00:00:00.309544,0.8736979985628515,0.9952607202881225,80,1.9827869593495473,0.22709016175822466,0.004915516547721579,3,0.8922117907943249,5000,PRUNED
105,0.0027386059518903494,2026-05-17 19:29:21.199962,2026-05-17 19:29:21.599574,0 days 00:00:00.399612,0.8622009038207593,0.9968555560055281,96,2.3553540388502014,0.4426505713675496,0.0034842240364081085,5,0.7032307499336695,5000,PRUNED
106,0.004420614335685968,2026-05-17 19:29:21.606690,2026-05-17 19:29:21.780563,0 days 00:00:00.173873,0.8669977020031251,0.9924907389345738,112,3.233403045874363,0.04277732522148045,0.0019404798353989245,3,0.3254513078257234,3000,PRUNED
107,0.0030685800593346357,2026-05-17 19:29:21.788279,2026-05-17 19:29:22.142086,0 days 00:00:00.353807,0.8503912467948831,0.9927883168681435,64,1.4241868915113025,0.27319500554355997,0.0014841624281092735,4,0.7366347633159546,5000,PRUNED
108,0.005138052627444267,2026-05-17 19:29:22.149269,2026-05-17 19:29:22.318828,0 days 00:00:00.169559,0.9549623630837475,0.9916755956437008,48,3.7170298261834227,0.08090967724370612,0.0022774301532651996,3,0.4837587790336219,1000,PRUNED
109,0.017821012064814568,2026-05-17 19:29:22.325070,2026-05-17 19:29:22.515544,0 days 00:00:00.190474,0.9461636801393315,0.9932398025560544,80,1.7679680717354642,0.7070820001461428,0.003183048111596278,4,0.5241486536843537,4000,PRUNED
110,0.002710358938202262,2026-05-17 19:29:22.521948,2026-05-17 19:29:22.816889,0 days 00:00:00.294941,0.8560167946878889,0.9914266333859668,48,2.123455393282258,0.19731955723232864,0.004518980992535062,3,0.5974141647323788,3000,PRUNED
