run,nu_true,nu_pred,abs_error,rel_error_pct,best_val_loss,ic,nu_class
175,0.012949996518716034,0.03970656171441078,0.026756565195694748,206.61445859869318,0.004227357916533947,N_wave,low
176,0.1128621543863002,0.04252607747912407,0.07033607690717614,62.32033872615309,8.031001925701275e-05,Step_up,high
177,0.20018219765660727,0.09207005053758621,0.10811214711902106,54.00687393015674,0.0001999997766688466,Step_up,high
178,0.049590281573246485,0.05540477856993675,0.005814496996690267,11.725073567291734,1.3654568647325505e-05,Gauss,low
179,0.15488911421616283,0.1484464854001999,0.006442628815962942,4.159510401080626,0.00013377451978158206,Step_up,high
180,0.4609305145149072,0.4154950678348541,0.04543544668005306,9.857331039987722,7.653383363503963e-06,Gauss,high
181,0.013812469066293243,0.042679402977228165,0.028866933910934922,208.99184477726212,0.00012989825336262584,Gauss,low
182,0.041818343318898964,0.04306468367576599,0.0012463403568670275,2.9803676041460228,4.9545164074515924e-05,Step_up,low
183,0.46689077186379935,0.4491818845272064,0.017708887336592927,3.7929401058624768,5.753193818236468e-06,Gauss,high
184,0.23160502611863126,0.10569655150175095,0.12590847461688032,54.363446565442096,0.0010067372350022197,N_wave,high
185,0.028800736054712117,0.04374407231807709,0.01494333626336497,51.88525819262899,3.300344542367384e-05,Gauss,low
186,0.01973222998243489,0.02800471894443035,0.00827248896199546,41.92374085118312,8.54536410770379e-05,Step_up,low
187,0.38304191140963323,0.3393166661262512,0.04372524528338201,11.415263964840989,0.0011287886882200837,N_wave,high
188,0.25585137192278373,0.18354101479053497,0.07231035713224876,28.262641934971573,0.000845134723931551,N_wave,high
189,0.00887661776023472,0.042283352464437485,0.033406734704202766,376.3453108666854,0.0001796726428437978,Step_up,low
190,0.3928384152319663,0.20218686759471893,0.19065154763724734,48.53179837941,0.0006696285563521087,N_wave,high
191,0.13367020250564904,0.18021389842033386,0.046543695914684824,34.819799059343715,0.00033562598400749266,Step_down,high
192,0.3884955174283592,0.129509836435318,0.2589856809930412,66.66375012700105,0.00033657587482593954,Step_up,high
193,0.03121847248535704,0.044229257851839066,0.013010785366482026,41.67655983996241,2.291375676577445e-05,Gauss,low
194,0.18955714409747998,0.15338507294654846,0.03617207115093152,19.08240985754142,0.0010879399487748742,N_wave,high
195,0.048070392079303574,0.06217649579048157,0.014106103711177993,29.344682040260068,2.071989183605183e-05,Gauss,low
196,0.21077012431113268,0.13827364146709442,0.07249648284403826,34.39599567584876,0.0006033072713762522,N_wave,high
197,0.04132154562926178,0.04567514359951019,0.00435359797024841,10.53590301124994,5.824894833494909e-05,Step_down,low
198,0.4885162035897459,0.5083038806915283,0.01978767710178242,4.050567198462886,0.0002790716534946114,Step_up,high
199,0.24920140784243394,0.3868831992149353,0.13768179137250136,55.24920286949396,0.00025099440244957805,Step_down,high
200,0.0270671439987086,0.047402940690517426,0.020335796691808825,75.1309288219661,0.0021242708899080753,N_wave,low
201,0.26722813781526655,0.09313642233610153,0.17409171547916502,65.14722472807625,0.0003395390813238919,Step_up,high
202,0.45272240845484146,0.4281570017337799,0.024565406721061556,5.42615215467337,4.0762865864962805e-06,Gauss,high
203,0.2425995434194076,0.2346416860818863,0.007957857337521301,3.2802441527120716,4.27578834205633e-06,Gauss,high
204,0.010548145400341713,0.03559575602412224,0.025047610623780525,237.45985358685985,0.00013197911903262138,Gauss,low
206,0.4174163035957336,0.44985562562942505,0.03243932203369143,7.771455440108735,0.00035950884921476245,Step_up,high
207,0.04666147904573377,0.0509355291724205,0.004274050126686732,9.159697065105153,0.0011708816746249795,N_wave,low
208,0.2866952958207467,0.036423150449991226,0.2502721453707555,87.2955186286822,0.0004884321242570877,Step_up,high
209,0.027485052031982548,0.033230770379304886,0.005745718347322338,20.904884373645803,7.869189721532166e-05,Step_down,low
210,0.20795036205916573,0.11576434969902039,0.09218601236014534,44.330777521761036,0.00018391862977296114,Step_up,high
211,0.34586023517798703,0.18573880195617676,0.16012143322181027,46.29657212238012,0.0003228518762625754,Step_up,high
212,0.26760892519615875,0.20750606060028076,0.06010286459587799,22.459215271621556,0.0011073396308347583,N_wave,high
213,0.2632241794091002,0.40756556391716003,0.14434138450805983,54.83591394684376,0.00040415924740955234,Step_down,high
214,0.4581178184782061,0.34954601526260376,0.10857180321560234,23.699537288521206,0.0013406384969130158,N_wave,high
215,0.24954894331483313,0.07789234071969986,0.17165660259513327,68.78674792806868,0.0011909789172932506,N_wave,high
216,0.03859606442324159,0.05030161887407303,0.011705554450831442,30.32836281562078,2.1220219423412345e-05,Gauss,low
217,0.025364851441483396,0.08543496578931808,0.060070114347834686,236.82423091030586,0.0004588270967360586,Gauss,low
218,0.39735658007960944,0.5251615047454834,0.12780492466587395,32.163787155674775,0.00045541819417849183,Step_down,high
219,0.4074252757357205,0.2584812045097351,0.1489440712259854,36.55739594383906,0.0009600308258086443,N_wave,high
220,0.021940245811593553,0.06082113832235336,0.03888089251075981,177.21265679810463,0.002724055666476488,N_wave,low
221,0.037035642701632385,0.04185863584280014,0.004822993141167756,13.022571742639629,0.0013433363055810332,N_wave,low
222,0.012089131329403053,0.022716641426086426,0.010627510096683373,87.90962565552795,7.881569763412699e-05,Step_up,low
223,0.364775009809477,0.49890583753585815,0.13413082772638113,36.770837946502425,0.0006332785706035793,Step_down,high
224,0.4660231046361351,0.4204850196838379,0.04553808495229722,9.771636749180661,6.153013600851409e-06,Gauss,high
225,0.005964739900395907,0.04335860162973404,0.03739386172933813,626.9152109525535,0.010541587136685848,N_wave,low
226,0.03855807081318282,0.07354997098445892,0.034991900171276104,90.75116942653817,0.00018925970653072,Step_up,low
227,0.2558837853897828,0.3625323474407196,0.10664856205093681,41.67851506826864,0.0005796740297228098,Step_down,high
228,0.04009281447445419,0.046342633664608,0.006249819190153813,15.588377299219017,5.503359261638252e-06,Gauss,low
229,0.4219181852347418,0.03946851193904877,0.382449673295693,90.64545845136071,0.0008508119499310851,Step_up,high
