number,value,datetime_start,datetime_complete,duration,params_hidden,params_lambda_ic,params_lambda_phys,params_lr,params_n_layers,params_scheduler_gamma,params_scheduler_step,state
28,5.408117431215942e-06,2026-05-19 10:10:52.611950,2026-05-19 10:10:56.684807,0 days 00:00:04.072857,80,1.560920339339959,0.2973801000562453,0.005821540999100251,4,0.8280401849554162,2000,COMPLETE
29,0.00017496997315902263,2026-05-19 10:10:56.694009,2026-05-19 10:10:57.245985,0 days 00:00:00.551976,128,1.016372706649764,1.1683631991133283,0.0001765394829300419,6,0.7204047378867301,1000,PRUNED
30,0.0006959441234357655,2026-05-19 10:10:57.252617,2026-05-19 10:10:57.801600,0 days 00:00:00.548983,64,8.288750525929023,1.8564199697742219,0.0003126705880979494,6,0.3001572673828277,1000,PRUNED
31,5.790804607386235e-06,2026-05-19 10:10:57.808353,2026-05-19 10:11:02.579306,0 days 00:00:04.770953,96,1.637565604820132,0.6208176242424545,0.00467255019176061,5,0.6747013818979675,4000,COMPLETE
32,1.58462523813796e-06,2026-05-19 10:11:02.592424,2026-05-19 10:11:07.611222,0 days 00:00:05.018798,96,1.367461334416787,0.805292750977039,0.0028097216009321828,5,0.786777902876036,4000,COMPLETE
33,0.00021048984490334988,2026-05-19 10:11:07.624806,2026-05-19 10:11:08.205207,0 days 00:00:00.580401,112,1.00230824871941,0.7540372699289928,0.0026058337424913836,5,0.8005338436434345,4000,PRUNED
34,0.0001078086206689477,2026-05-19 10:11:08.212237,2026-05-19 10:11:08.763635,0 days 00:00:00.551398,80,2.6725235082462304,0.19414153764289646,0.0010356713131866866,5,0.8694872583528545,3000,PRUNED
35,6.335355283226818e-05,2026-05-19 10:11:08.773416,2026-05-19 10:11:09.321402,0 days 00:00:00.547986,48,1.3295255770413363,0.5769817152148381,0.0072942022712495945,4,0.7700479329254267,2000,PRUNED
36,0.00011185292532900348,2026-05-19 10:11:09.328657,2026-05-19 10:11:09.784909,0 days 00:00:00.456252,112,12.682004253655888,1.3380027963439711,0.003132890959318406,3,0.8501920489611685,5000,PRUNED
37,0.003680939320474863,2026-05-19 10:11:09.792167,2026-05-19 10:11:10.051823,0 days 00:00:00.259656,96,1.2781595873845157,5.761270430231094,0.001690201636575222,5,0.8989701516996023,4000,PRUNED
38,0.008630049414932728,2026-05-19 10:11:10.059042,2026-05-19 10:11:10.350488,0 days 00:00:00.291446,64,3.088029249367627,0.016063467297744338,0.0009730406964471717,6,0.6378314128814776,3000,PRUNED
39,0.00034603162202984095,2026-05-19 10:11:10.357988,2026-05-19 10:11:10.797498,0 days 00:00:00.439510,80,1.9626299085000818,0.34530308981269725,0.002331200218927854,4,0.5506873551125531,3000,PRUNED
40,0.008892476558685303,2026-05-19 10:11:10.805018,2026-05-19 10:11:11.041540,0 days 00:00:00.236522,32,34.39355831697861,0.8819812145262719,0.004151826971087145,4,0.7998917281718632,4000,PRUNED
41,4.455797352420632e-06,2026-05-19 10:11:11.048432,2026-05-19 10:11:15.934543,0 days 00:00:04.886111,96,1.8941327964232046,1.9584821988159875,0.005445904631834304,5,0.6931198940467117,4000,COMPLETE
42,0.013335313647985458,2026-05-19 10:11:15.947280,2026-05-19 10:11:16.258188,0 days 00:00:00.310908,112,1.2757786177801207,2.8997416393479067,0.007679883610382862,6,0.7312049968387057,5000,PRUNED
43,3.868307248922065e-05,2026-05-19 10:11:16.266214,2026-05-19 10:11:17.240713,0 days 00:00:00.974499,96,1.7405479646898825,1.6081184133629745,0.004425022903378397,5,0.7579658254562178,4000,PRUNED
44,1.317604187534016e-06,2026-05-19 10:11:17.248082,2026-05-19 10:11:21.988298,0 days 00:00:04.740216,80,2.289443348802963,0.8224282553487274,0.009988229015155793,5,0.7044348259731533,5000,COMPLETE
45,0.0206292774528265,2026-05-19 10:11:21.997847,2026-05-19 10:11:22.298642,0 days 00:00:00.300795,80,2.4624097679381602,0.00712036162307134,0.00010189161943391766,5,0.786489220532669,5000,PRUNED
46,0.001001442433334887,2026-05-19 10:11:22.305919,2026-05-19 10:11:22.495332,0 days 00:00:00.189413,48,3.9597298330124207,0.8313802994725109,0.008311234616971523,3,0.6514087810121396,5000,PRUNED
47,0.0007204007706604898,2026-05-19 10:11:22.502118,2026-05-19 10:11:22.880527,0 days 00:00:00.378409,64,1.1911322673788876,0.20640617193292055,0.006656531171227747,4,0.8160153426389765,5000,PRUNED
48,0.008577023632824421,2026-05-19 10:11:22.886961,2026-05-19 10:11:23.049158,0 days 00:00:00.162197,80,89.26283695736552,0.09178173834848408,0.0005915934908238686,2,0.8499186875450968,2000,PRUNED
49,7.86315126788395e-07,2026-05-19 10:11:23.055554,2026-05-19 10:11:27.370377,0 days 00:00:04.314823,128,1.0066998956294553,0.4550089594214893,0.003522685296289495,5,0.6211801033723706,3000,COMPLETE
50,0.0008166306070052087,2026-05-19 10:11:27.379881,2026-05-19 10:11:27.654632,0 days 00:00:00.274751,96,7.166195686703946,0.4011188493986591,0.008812963032274024,6,0.6216539886044766,3000,PRUNED
51,2.483042590029072e-05,2026-05-19 10:11:27.661061,2026-05-19 10:11:28.856679,0 days 00:00:01.195618,128,1.0589393661423503,1.0310189334043396,0.003482422174445861,5,0.6732377625882147,2000,PRUNED
52,0.002305625705048442,2026-05-19 10:11:28.864187,2026-05-19 10:11:29.141943,0 days 00:00:00.277756,128,1.4822185853833232,0.636882705579212,0.006305306308883818,5,0.7140329414760762,3000,PRUNED
53,8.347189577762038e-05,2026-05-19 10:11:29.149006,2026-05-19 10:11:29.550268,0 days 00:00:00.401262,112,2.1298381250908758,0.4744984540867569,0.0015206900508745614,4,0.7454630021942151,2000,PRUNED
54,0.0017744341166689992,2026-05-19 10:11:29.557824,2026-05-19 10:11:29.822298,0 days 00:00:00.264474,128,1.215373906634663,0.2041493126622292,0.00988776200277898,5,0.5314997805921042,3000,PRUNED
55,0.00034000896266661584,2026-05-19 10:11:29.828819,2026-05-19 10:11:30.965222,0 days 00:00:01.136403,112,19.78814878044896,2.4226575485505344,0.0022288600575315095,5,0.5737843181655959,5000,PRUNED
56,0.0012616366147994995,2026-05-19 10:11:30.972473,2026-05-19 10:11:31.180379,0 days 00:00:00.207906,128,1.5385339801249605,0.12961181052691922,0.0033085185193571405,4,0.6741465725205992,2000,PRUNED
